asignatura;nivel;nucleo;creditos
Algebra_y_tigonometria;1;Ciencias_basicas;3
Calculo_diferencial;1;Ciencias_basicas;3
Geometria_vectorial_y_analitica;1;Ciencias_basicas;3
Vivamos_la_universidad;1;Ciencias_basicas;1
Ingles_I;1;Formacion_complementaria;1
Lectoescritura;1;Formacion_complementaria;3
Introduccion_a_ingenieria_industrial;1;Generales;1
Gestion_de_las_organizaciones;2;Administracion_y_finanzas;3
Habilidades_gerenciales;2;Administracion_y_finanzas;3
Algebra_lineal;2;Ciencias_basicas;3
Calculo_integral;2;Ciencias_basicas;3
Descubriendo_la_fisica;2;Ciencias_basicas;3
Ingles_II;2;Formacion_complementaria;1
Gestion_contable;3;Administracion_y_finanzas;3
Fisica_mecanica;3;Ciencias_basicas;3
Ingles_III;3;Metodos_cuantitativos;1
Algoritmia_y_programacion;3;Metodos_cuantitativos;3
Probabilidad_e_inferencia_estadistica;3;Metodos_cuantitativos;3
Teoria_general_de_sistemas;3;Metodos_cuantitativos;3
