asignatura;nivel;nucleo;creditos
Algebra_y_tigonometria;1;Ciencias_basicas;3
Calculo_diferencial;1;Ciencias_basicas;3
Geometria_vectorial_y_analitica;1;Ciencias_basicas;3
Vivamos_la_universidad;1;Ciencias_basicas;1
Ingles_I;1;Formacion_complementaria;1
Lectoescritura;1;Formacion_complementaria;3
Introduccion_a_ingenieria_industrial;1;Generales;1
Gestion_de_las_organizaciones;2;Administracion_y_finanzas;3
Habilidades_gerenciales;2;Administracion_y_finanzas;3
Algebra_lineal;2;Ciencias_basicas;3
Calculo_integral;2;Ciencias_basicas;3
Descubriendo_la_fisica;2;Ciencias_basicas;3
Ingles_II;2;Formacion_complementaria;1
Gestion_contable;3;Administracion_y_finanzas;3
Fisica_mecanica;3;Ciencias_basicas;3
Ingles_III;3;Metodos_cuantitativos;1
Algoritmia_y_programacion;3;Metodos_cuantitativos;3
Probabilidad_e_inferencia_estadistica;3;Metodos_cuantitativos;3
Teoria_general_de_sistemas;3;Metodos_cuantitativos;3
Ingenieria_economica;4;Administracion_y_finanzas;3
Electiva_en_fisica;4;Ciencias_basicas;3
Ingles_IV;4;Formacion_complementaria;1
Dise¤o_de_experimentos_y_analisis_de_regresion;4;Metodos_cuantitativos;3
Optimizacion;4;Metodos_cuantitativos;3
Gestion_de_metodos_y_tiempos;4;Produccion_logistica_y_calidad;4
Gestion_financiera;5;Administracion_y_finanzas;3
Laboratorio_integrado_de_fisica;5;Ciencias_basicas;1
Ingles_V;5;Formacion_complementaria;1
Formacion_ciudadana_y_constitucional;5;Formacion_complementaria;1
Dinamica_de_sistemas;5;Metodos_cuantitativos;3
Muestreo_y_series_de_tiempo;5;Metodos_cuantitativos;3
Procesos_estocasticos_y_analisis_de_decision;5;Metodos_cuantitativos;3
Gestion_por_procesos;5;Produccion_logistica_y_calidad;3
Gestion_tecnologica;6;Administracion_y_finanzas;3
Legislacion;6;Administracion_y_finanzas;3
Electiva_en_humanidades_I;6;Electiva_socio_humanistica;3
Ingles_VI;6;Formacion_complementaria;1
Simulacion_discreta;6;Metodos_cuantitativos;3
Formulacion_de_proyectos_de_investigacion;6;Generales;3
Normalizacion_y_control_de_calidad;6;Produccion_logistica_y_calidad;3
